team,cumulative_visible_net_spend_m
Enric G,212.332908
Rupert F.C,166.514163
Hammers,156.525394
Feldespats FC,154.9277
JBSNI63 FC,153.146705
LeTaxet,139.40328900000003
naref25,135.29639400000002
MANELUNITED FC,124.285538
Valak Town,120.4239
Pau Ragnar 11,114.531007
Urilove FC,52.17394900000001
