position,team,round,points
1,LeTaxet,1,89
2,Hammers,1,75
3,JBSNI63 FC,1,73
4,naref25,1,64
5,Feldespats FC,1,60
6,Enric G,1,55
7,MANELUNITED FC,1,54
8,Urilove FC,1,52
9,Pau Ragnar 11,1,47
10,Valak Town,1,39
11,Rupert F.C,1,35
