round,team,round_points,total_points
0,Hammers,0,0
0,LeTaxet,0,0
0,Pau Ragnar 11,0,0
0,MANELUNITED FC,0,0
0,Rupert F.C,0,0
0,JBSNI63 FC,0,0
0,Enric G,0,0
0,Feldespats FC,0,0
0,naref25,0,0
0,Urilove FC,0,0
0,Valak Town,0,0
